DataSet,Variant,Mean_Silhouette,Best_Silhouette,Mean_DaviesBouldin,Best_DaviesBouldin
1,ClonalG_Classico_Lab2,0.6479626689290785,0.6479626689290785,0.4837408068820226,0.4837408068820226
1,ClonalG_Otimizado_Lab4,0.6479626689290785,0.6479626689290785,0.4837408068820226,0.4837408068820226
1,ClonalG_Decay_Sil_Futuro,0.6479626689290785,0.6479626689290785,0.4837408068820226,0.4837408068820226
1,ClonalG_Decay_DB_Futuro,0.6479626689290785,0.6479626689290785,0.48374080688202253,0.48374080688202253
2,ClonalG_Classico_Lab2,0.6285082873253126,0.6538977530509176,0.4948899600997663,0.3938580078057408
2,ClonalG_Otimizado_Lab4,0.6158135544625102,0.6158135544625102,0.5454059362467791,0.5454059362467791
2,ClonalG_Decay_Sil_Futuro,0.6538977530509176,0.6538977530509176,0.3938580078057408,0.3938580078057408
2,ClonalG_Decay_DB_Futuro,0.6253153359806398,0.6443188990168992,0.5160569816441246,0.45735907243881535
3,ClonalG_Classico_Lab2,0.19794158616239085,0.20241840404681924,1.5833001771227238,1.3925650593902996
3,ClonalG_Otimizado_Lab4,0.20316786143379975,0.20893294800947362,1.390284870960306,1.3681986815729905
3,ClonalG_Decay_Sil_Futuro,0.19718691093605742,0.20497818652854288,1.4307133761497706,1.3690908808664013
3,ClonalG_Decay_DB_Futuro,0.1649663596709341,0.17401044846723623,1.3038919156024056,1.2701858904401178
4,ClonalG_Classico_Lab2,0.5875434244473644,0.5900869952592726,0.5396585523976586,0.5316448345123408
4,ClonalG_Otimizado_Lab4,0.5902380002152378,0.590540010127168,0.5322527134310646,0.5316448345123408
4,ClonalG_Decay_Sil_Futuro,0.59017203017607,0.590540010127168,0.5346612212104932,0.5334684712685122
4,ClonalG_Decay_DB_Futuro,0.5789940167455304,0.5845640364718052,0.5311772655509233,0.5289349255396631
5,ClonalG_Classico_Lab2,0.6643575754503649,0.6643575754503649,0.50463229818083,0.50463229818083
5,ClonalG_Otimizado_Lab4,0.6643575754503649,0.6643575754503649,0.50463229818083,0.50463229818083
5,ClonalG_Decay_Sil_Futuro,0.6643575754503649,0.6643575754503649,0.50463229818083,0.50463229818083
5,ClonalG_Decay_DB_Futuro,0.6643575754503649,0.6643575754503649,0.50463229818083,0.50463229818083
