DataSet,k,KMeans_Silhouette
1,2,0.5554335050302593
1,3,0.6479626689290785
1,4,0.5528674044240071
1,5,0.4656661942314263
1,6,0.3790901507863583
2,2,0.35891206310876406
2,3,0.38067622849365795
2,4,0.40977524832039014
2,5,0.4185209488361204
2,6,0.39606397681576133
3,2,0.19645444674770568
3,3,0.19771171467808202
3,4,0.20924457456919793
3,5,0.22201950837163575
3,6,0.22206807318953195
4,2,0.5145511657693747
4,3,0.5483211956419075
4,4,0.5865799782279477
4,5,0.5446468588300672
4,6,0.49152206294324313
5,2,0.6643575754503649
5,3,0.372353482566261
5,4,0.14709598130339355
5,5,0.1423256473020802
5,6,0.13920330921075985
