DataSet,n_antibodies,rho,beta,replace_rate,selection_rate,k,KMeans_Silhouette,ClonalG_Media,ClonalG_Desvio,ClonalG_Melhor,ClonalG_Pior,Delta_Media_vs_KMeans
1,10,1.0,10,0.05,0.5,3,0.6479626689290785,0.6479626689290785,0.0,0.6479626689290785,0.6479626689290785,0.0
1,10,1.0,10,0.05,0.85,3,0.6479626689290785,0.6479626689290785,0.0,0.6479626689290785,0.6479626689290785,0.0
1,10,1.0,10,0.2,0.5,3,0.6479626689290785,0.6479626689290785,0.0,0.6479626689290785,0.6479626689290785,0.0
1,10,1.0,10,0.2,0.85,3,0.6479626689290785,0.6479626689290785,0.0,0.6479626689290785,0.6479626689290785,0.0
1,10,2.5,10,0.05,0.5,3,0.6479626689290785,0.6479626689290785,0.0,0.6479626689290785,0.6479626689290785,0.0
1,10,2.5,10,0.05,0.85,3,0.6479626689290785,0.6479626689290785,0.0,0.6479626689290785,0.6479626689290785,0.0
1,10,2.5,10,0.2,0.5,3,0.6479626689290785,0.6479626689290785,0.0,0.6479626689290785,0.6479626689290785,0.0
1,10,2.5,10,0.2,0.85,3,0.6479626689290785,0.6479626689290785,0.0,0.6479626689290785,0.6479626689290785,0.0
1,20,1.0,10,0.05,0.5,3,0.6479626689290785,0.6479626689290785,0.0,0.6479626689290785,0.6479626689290785,0.0
1,20,1.0,10,0.05,0.85,3,0.6479626689290785,0.6479626689290785,0.0,0.6479626689290785,0.6479626689290785,0.0
1,20,1.0,10,0.2,0.5,3,0.6479626689290785,0.6479626689290785,0.0,0.6479626689290785,0.6479626689290785,0.0
1,20,1.0,10,0.2,0.85,3,0.6479626689290785,0.6479626689290785,0.0,0.6479626689290785,0.6479626689290785,0.0
1,20,2.5,10,0.05,0.5,3,0.6479626689290785,0.6479626689290785,0.0,0.6479626689290785,0.6479626689290785,0.0
1,20,2.5,10,0.05,0.85,3,0.6479626689290785,0.6479626689290785,0.0,0.6479626689290785,0.6479626689290785,0.0
