DataSet,RankBusca,k_descoberto_clonalg,k_descoberto_moda,ks_descobertos,n_antibodies,rho,beta,replace_rate,selection_rate,ClonalG_Media_Validacao,ClonalG_Desvio_Validacao,ClonalG_Melhor_Validacao,ClonalG_Pior_Validacao,KMeans_Silhouette_mesmo_k,Delta_Validacao_vs_KMeans_mesmo_k
1,1,3,3,"3,3,4",10,1.0,10.0,0.05,0.5,0.6479626689290785,0.0,0.6479626689290785,0.6479626689290785,0.6479626689290785,0.0
1,2,4,4,"4,3,4",10,1.0,10.0,0.05,0.85,0.6479626689290785,0.0,0.6479626689290785,0.6479626689290785,0.5528674044240071,0.09509526450507144
2,1,5,4,"5,4,4",10,2.5,10.0,0.05,0.5,0.4075547475749257,0.005462356480330816,0.41527571618829456,0.4034798099380081,0.4185209488361204,-0.010966201261194686
2,2,4,4,"4,5,4",10,1.0,10.0,0.05,0.5,0.4026792189361628,0.004445438234920196,0.4064939502229621,0.3964441806436513,0.40977524832039014,-0.00709602938422732
3,1,5,2,"5,6,2",20,2.5,10.0,0.2,0.85,0.20594116612589106,0.007072984923978781,0.21343084884440297,0.19645444674770568,0.22201950837163575,-0.016078342245744698
3,2,6,2,"6,2,2",20,2.5,10.0,0.05,0.5,0.19812891583965553,0.007654027030342248,0.20822753848984532,0.18970476228141553,0.22206807318953195,-0.023939157349876422
4,1,4,4,"5,4,4",10,1.0,10.0,0.05,0.5,0.5903049781349416,0.0003323854309978935,0.590540010127168,0.5898349141504893,0.5865799782279477,0.003724999906993931
4,2,4,4,"4,4,4",10,1.0,10.0,0.05,0.85,0.5903890051712027,0.0002135532567114417,0.590540010127168,0.5900869952592726,0.5865799782279477,0.0038090269432550228
5,1,3,2,"3,2,2",10,1.0,10.0,0.05,0.5,0.6643575754503649,0.0,0.6643575754503649,0.6643575754503649,0.372353482566261,0.2920040928841039
5,2,2,2,"2,2,2",10,1.0,10.0,0.05,0.85,0.6643575754503649,0.0,0.6643575754503649,0.6643575754503649,0.6643575754503649,0.0
